lat,lng
-36.85846,174.65488
-36.8594,174.65733
-36.86009,174.65914
-36.86096,174.66146
-36.86127,174.6622
-36.86156,174.66276
-36.86185,174.66321
-36.86185,174.66321
-36.86195,174.66337
-36.86215,174.66364
-36.86245,174.66399
-36.86292,174.66446
-36.86345,174.66488
-36.8645,174.66562
-36.86561,174.6665
-36.86605,174.66693
-36.86638,174.66733
-36.86667,174.66773
-36.86699,174.66827
-36.86787,174.66982
-36.86947,174.67307
-36.86947,174.67307
-36.86987,174.67388
-36.87064,174.67547
-36.87106,174.6763
-36.87123,174.67669
-36.87139,174.67713
-36.87154,174.67772
-36.87165,174.67828
-36.87172,174.67895
-36.87175,174.67973
-36.87185,174.68269
-36.87185,174.68269
-36.87194,174.68519
-36.87186,174.68935
-36.8718,174.69222
-36.87178,174.69315
-36.87171,174.69573
-36.87171,174.69573
-36.8717,174.69627
-36.87155,174.69766
-36.87153,174.69799
-36.87146,174.69863
-36.87141,174.699
-36.8713,174.69946
-36.87117,174.69987
-36.87068,174.7011
-36.8706,174.70134
-36.8705,174.70175
-36.87044,174.70222
-36.87045,174.70264
-36.87048,174.70289
-36.87048,174.70289
-36.87048,174.70293
-36.87053,174.70318
-36.87064,174.70358
-36.87076,174.70394
-36.87089,174.70427
-36.87105,174.7046
-36.87113,174.70489
-36.87117,174.7052
-36.87118,174.70547
-36.87116,174.70593
-36.87117,174.70613
-36.87121,174.70641
-36.87123,174.7073
-36.8712,174.70807
-36.87118,174.7083
-36.87118,174.7083
-36.87113,174.70879
-36.87103,174.70936
-36.87096,174.70956
-36.87083,174.70984
-36.87064,174.71025
-36.87056,174.71041
-36.87037,174.71081
-36.87012,174.71133
-36.87008,174.71129
-36.87008,174.71129
-36.87013,174.71132
-36.87008,174.71143
-36.87007,174.71143
-36.86998,174.71163
-36.86959,174.71245
-36.86936,174.71293
-36.86933,174.71299
-36.86928,174.71296
-36.86928,174.71296
-36.86928,174.71296
-36.86933,174.71299
-36.86933,174.713
-36.86922,174.71322
-36.86915,174.71335
-36.86908,174.71353
-36.86903,174.71365
-36.86898,174.71377
-36.86895,174.71386
-36.86894,174.7139
-36.8689,174.71403
-36.86886,174.71416
-36.86884,174.71426
-36.8688,174.71445
-36.86875,174.7147
-36.86873,174.71479
-36.86849,174.71596
-36.86846,174.71615
-36.86843,174.71628
-36.86838,174.71627
-36.86838,174.71627
-36.86838,174.71627
-36.86843,174.71628
-36.86833,174.71676
-36.86822,174.71731
-36.86807,174.71801
-36.86805,174.71815
-36.86804,174.71822
-36.86801,174.71836
-36.868,174.71845
-36.86799,174.71855
-36.86799,174.71858
-36.86799,174.71864
-36.86798,174.71873
-36.86797,174.71901
-36.86797,174.71924
-36.86798,174.71955
-36.86798,174.7197
-36.86791,174.7197
-36.86791,174.7197
-36.86797,174.7197
-36.86798,174.7197
-36.86806,174.72226
-36.86808,174.72278
-36.86815,174.72482
-36.86809,174.72488
-36.86815,174.72482
-36.86815,174.72503
-36.86817,174.72538
-36.86818,174.72557
-36.86819,174.72573
-36.8682,174.72593
-36.8682,174.72611
-36.8682,174.7262
-36.86819,174.72637
-36.86818,174.72655
