lon,lat
174.77772,-36.86996
174.77769,-36.86994
174.77766,-36.86992
174.77761,-36.8699
174.77756,-36.86988
174.77775,-36.86928
174.77799,-36.86853
174.77803,-36.8684
174.77804,-36.86834
174.77805,-36.86828
174.77804,-36.86824
174.77804,-36.86819
174.77803,-36.86816
174.77803,-36.86812
174.77803,-36.86807
174.77804,-36.86802
174.77805,-36.86798
174.77793,-36.86796
174.77793,-36.86796
174.77805,-36.86798
174.77805,-36.86798
174.77805,-36.86797
174.77806,-36.86793
174.77818,-36.86766
174.77818,-36.86766
174.7778,-36.86758
174.77742,-36.8675
174.77742,-36.8675
174.77661,-36.86733
174.77661,-36.86733
174.77629,-36.86726
174.77543,-36.86708
174.7747,-36.86692
174.77468,-36.86698
174.77468,-36.86698
174.7747,-36.86692
174.77455,-36.86689
174.77369,-36.86671
174.77259,-36.86648
174.77194,-36.86634
174.7705,-36.86604
174.77069,-36.86546
174.77072,-36.86538
174.77072,-36.86537
174.77065,-36.86537
174.77072,-36.86537
174.77074,-36.8653
174.77088,-36.86486
174.771,-36.86446
174.77112,-36.86409
174.77113,-36.86403
174.77114,-36.864
174.77114,-36.86397
174.77114,-36.86394
174.77114,-36.86392
174.77114,-36.8639
174.77114,-36.86389
174.77113,-36.86385
174.77112,-36.86381
174.77102,-36.86354
174.77091,-36.86323
174.77079,-36.86291
174.77073,-36.86279
174.77067,-36.86261
174.77058,-36.86237
174.77048,-36.86209
174.77037,-36.86183
174.77034,-36.86175
174.77024,-36.8615
174.77022,-36.86145
174.77019,-36.8614
174.77017,-36.86136
174.77015,-36.86134
174.77012,-36.86131
174.77009,-36.86128
174.77005,-36.86124
174.77,-36.86121
174.76995,-36.86119
174.76991,-36.86118
174.76986,-36.86116
174.76979,-36.86115
174.76967,-36.86112
174.76923,-36.86102
174.7692,-36.86101
174.76912,-36.86099
174.76909,-36.86103
174.76909,-36.86103
174.76912,-36.86099
174.76902,-36.86096
174.76886,-36.86093
174.76792,-36.86071
174.76758,-36.86063
174.76728,-36.86057
174.76718,-36.86054
174.76714,-36.86053
174.76711,-36.86052
174.76709,-36.86051
174.76705,-36.86049
174.76691,-36.86039
174.76676,-36.8603
174.76668,-36.86026
174.76665,-36.86024
174.76651,-36.86016
174.76636,-36.86007
174.76528,-36.85941
174.76519,-36.85936
174.765,-36.85925
174.76398,-36.85864
174.76376,-36.8585
174.76369,-36.85847
174.76359,-36.85843
174.76377,-36.85813
174.76379,-36.8581
174.76382,-36.85807
174.76385,-36.85804
174.7643,-36.85767
174.76448,-36.85752
174.76455,-36.85747
174.76455,-36.85746
174.76449,-36.85741
174.76449,-36.85741
174.76454,-36.85745
174.76455,-36.85746
174.76456,-36.85745
174.7647,-36.85734
174.7647,-36.85734
174.76475,-36.8573
174.76476,-36.85729
174.76476,-36.85729
174.76478,-36.85727
174.76479,-36.85727
174.76479,-36.85726
174.7648,-36.85726
174.76481,-36.85725
174.76483,-36.85723
174.76484,-36.85723
174.76603,-36.85611
174.76624,-36.85593
174.76626,-36.85591
174.76744,-36.85487
174.76747,-36.85484
174.76752,-36.8548
174.76758,-36.85474
174.76759,-36.85473
174.76762,-36.85469
174.76789,-36.85438
174.76793,-36.85434
174.76796,-36.8543
174.76789,-36.85427
174.76795,-36.8543
174.76796,-36.8543
174.76797,-36.85429
174.76801,-36.85424
174.76819,-36.85405
174.76825,-36.854
174.76825,-36.854
174.76818,-36.85395
174.76812,-36.85389
174.76788,-36.85362
174.76788,-36.85361
174.76784,-36.85357
174.76727,-36.8529
174.76719,-36.85279
174.76716,-36.8528
174.76716,-36.8528
174.76719,-36.85279
174.76705,-36.85261
174.76679,-36.85239
174.76636,-36.85201
174.76623,-36.85187
174.76589,-36.8516
174.76569,-36.85145
174.76564,-36.85141
174.76558,-36.85135
174.76552,-36.85129
174.76547,-36.85125
174.76541,-36.85122
174.76535,-36.85119
174.76529,-36.85116
174.76522,-36.85115
174.76514,-36.85108
174.76452,-36.8509
174.76394,-36.85073
174.76378,-36.85068
174.76377,-36.85068
174.76373,-36.85073
174.76373,-36.85073
174.76377,-36.85068
174.76367,-36.85065
174.76361,-36.85063
174.76339,-36.85057
174.7627,-36.85038
174.76246,-36.85031
174.7618,-36.85011
174.76086,-36.84984
174.76066,-36.84979
174.76037,-36.8497
174.76034,-36.84977
174.76034,-36.84977
174.76037,-36.8497
174.76027,-36.84968
174.75933,-36.84941
174.75911,-36.84934
174.75895,-36.8493
174.75893,-36.84935
174.75895,-36.84929
174.75786,-36.84897
174.75648,-36.84857
174.7564,-36.84849
174.75636,-36.84842
174.75638,-36.84815
174.75642,-36.84779
174.75648,-36.84689
174.75652,-36.84637
174.75651,-36.84612
174.75647,-36.84598
174.75646,-36.84586
174.75648,-36.84572
174.75671,-36.84514
174.75667,-36.84513
174.75671,-36.84514
174.75681,-36.84489
174.7561,-36.8447
174.7561,-36.8447
174.7545,-36.84428
174.75342,-36.844
174.75356,-36.84366
174.75356,-36.84366
174.75367,-36.84339
174.75392,-36.84279
174.75449,-36.84142
174.75493,-36.84035
174.75536,-36.84044
174.75563,-36.84051
174.75564,-36.8405
