id,tt,seg_dist,speed,lat,lng,latr,lngr
367,5.78333333333333,2664.18943742973,18.4882812679412,-36.8197822570801,174.750106811523,-36.8193784447704,174.750809321747
721,7.16666666666667,3756.49618247957,18.4805055116939,-36.8288993835449,174.746917724609,-36.829321797959,174.748028089614
369,6.33333333333333,1354.47959240877,18.4791512525003,-36.8095664978027,174.755950927734,-36.8100470657354,174.755567913993
98,10.1833333333333,2664.18943742973,18.4791512525002,-36.8197822570801,174.750106811523,-36.8191557624237,174.750486505528
69,9.45,3761.28404786936,18.4723773700763,-36.8288993835449,174.746917724609,-36.8289769340823,174.747994121987
120,10.95,3761.28404786936,18.4723773700763,-36.8288993835449,174.746917724609,-36.8287147637748,174.747040363442
296,17.4833333333333,781.835893936404,18.4723773700763,-36.8054389953613,174.759719848633,-36.8058722745745,174.759219005938
385,6.95,3761.28404786936,18.4723773700763,-36.8288993835449,174.746917724609,-36.8289148873325,174.747220808389
733,7.88333333333333,3756.49618247957,18.4677579911073,-36.8288993835449,174.746917724609,-36.8291109764981,174.747084045376
411,7.61666666666667,2820.1072761227,18.4544465048365,-36.8211669921875,174.750152587891,-36.8211782239881,174.749588891095
174,13.3,2462.91368202607,18.4266536637148,-36.8179893493652,174.750549316406,-36.8176742994656,174.751138917841
154,12.5666666666667,521.02787284998,18.4266536637148,-36.8032836914062,174.760848999023,-36.8034627358226,174.761406637808
177,13.3833333333333,521.02787284998,18.4266536637148,-36.8032836914062,174.760848999023,-36.8031058648387,174.760381840758
313,17.8666666666667,521.02787284998,18.4266536637148,-36.8032836914062,174.760848999023,-36.8031738326596,174.760991356496
327,18.1666666666667,521.02787284998,18.4266536637148,-36.8032836914062,174.760848999023,-36.8032043551911,174.761442387734
357,22.7333333333333,521.02787284998,18.4266536637148,-36.8032836914062,174.760848999023,-36.8023671109871,174.760643120697
466,9.11666666666667,521.02787284998,18.4266536637148,-36.8032836914062,174.760848999023,-36.8034668176651,174.761229908237
321,17.8833333333333,875.386597152188,18.4266536637147,-36.8061714172363,174.759246826172,-36.8063216078329,174.759707250917
519,8.46666666666667,1353.96193859701,18.4148180114215,-36.8095664978027,174.755950927734,-36.8095116779996,174.756110372607
630,7.13333333333333,2077.79513071983,18.4067222461211,-36.814624786377,174.75163269043,-36.8150809722673,174.751547483671
633,7.83333333333333,521.524810616416,18.406722246121,-36.8032836914062,174.760848999023,-36.8027330580284,174.76078664306
731,7.85,2328.63025471919,18.3996468485912,-36.8168525695801,174.750823974609,-36.8170925587648,174.750236141022
510,7.65,2795.10081310124,18.3923973726089,-36.8209381103516,174.75016784668,-36.8206191870391,174.750084369437
634,7.85,1355.9628857739,18.3910302407962,-36.8095664978027,174.755950927734,-36.8090068289294,174.756107896697
742,8.11666666666667,522.042269264584,18.383692741009,-36.8032836914062,174.760848999023,-36.803691551325,174.761052864689
658,6.61666666666667,4422.96116441921,18.3783443243531,-36.8339233398438,174.743560791016,-36.8346205164656,174.744204844732
135,11.6333333333333,1354.47959240877,18.3777765982938,-36.8095664978027,174.755950927734,-36.8090606695976,174.755432378667
360,5.26666666666667,4452.99227770727,18.3699562678264,-36.8343887329102,174.743255615234,-36.8336447258592,174.743034376551
50,22.0166666666667,1831.11899808899,18.3658640495669,-36.8134078979492,174.754119873047,-36.8131198892808,174.754922475305
75,9.46666666666667,1354.47959240877,18.3650260594883,-36.8095664978027,174.755950927734,-36.8094159587953,174.756295373282
159,12.7666666666667,1354.47959240877,18.3650260594883,-36.8095664978027,174.755950927734,-36.8091468751312,174.756285948578
346,18.8666666666667,1354.47959240877,18.3650260594883,-36.8095664978027,174.755950927734,-36.8105863804675,174.756548133126
570,7.7,3084.99905321902,18.3584623449738,-36.8235321044922,174.750335693359,-36.8231451414674,174.749688093788
128,11.3166666666667,3089.41990659238,18.3557819188543,-36.8235321044922,174.750335693359,-36.8237834387998,174.750091679861
245,15.95,1850.58180643186,18.3520518270195,-36.8136329650879,174.753860473633,-36.8138067413115,174.75388163512
