id,lat,lng,route
6662,-36.965934753418,174.816070556641,03102-20170928152758_v59.3
6663,-36.9663009643555,174.864624023438,03102-20170928152758_v59.3
6664,-36.9418182373047,174.906326293945,03102-20170928152758_v59.3
6665,-36.9373512268066,174.78955078125,31302-20170928152758_v59.3
6721,-36.9164848327637,174.839340209961,03201-20170928152758_v59.3
6725,-36.9487342834473,174.892272949219,03101-20170928152758_v59.3
6726,-36.9396018981934,174.84831237793,32411-20170928152758_v59.3
6730,-36.946834564209,174.834381103516,03201-20170928152758_v59.3
6731,-36.972282409668,174.851486206055,03101-20170928152758_v59.3
6732,-36.9689826965332,174.799667358398,03101-20170928152758_v59.3
6786,-36.9716491699219,174.793762207031,03202-20170928152758_v59.3
6787,-36.8519248962402,174.764007568359,30901-20170928152758_v59.3
6790,-36.977466583252,174.803634643555,03201-20170928152758_v59.3
6791,-36.9487991333008,174.834899902344,03202-20170928152758_v59.3
55FB,-37.0358657836914,174.894485473633,36302-20170928152758_v59.3
37BD,-36.8709487915039,174.777282714844,39002-20170928152758_v59.3
2CAC,-36.8518676757812,174.764144897461,26702-20170928152758_v59.3
5E38,-36.9295654296875,174.912322998047,57502-20170928152758_v59.3
5EC9,-36.896900177002,174.831604003906,50001-20170928152758_v59.3
36E3,-36.9156837463379,174.840087890625,71901-20170928152758_v59.3
522E,-36.7416000366211,174.692733764648,95702-20170928152758_v59.3
36F9,-36.8705825805664,174.874801635742,75703-20170928152758_v59.3
5A31,-36.834300994873,174.624877929688,11101-20170928152758_v59.3
5E97,-36.8994522094727,174.853546142578,50002-20170928152758_v59.3
2C5A,-36.7854995727539,174.75634765625,87501-20170928152758_v59.3
585B,-36.7878723144531,174.721450805664,94501-20170928152758_v59.3
37FC,-36.9487991333008,174.834899902344,32101-20170928152758_v59.3
576A,-36.7892150878906,174.770355224609,94502-20170928152758_v59.3
2CBC,-36.6895332336426,174.750564575195,85803-20170928152758_v59.3
36EF,-36.9063987731934,174.832870483398,50501-20170928152758_v59.3
5E98,-36.8780670166016,174.854537963867,63201-20170928152758_v59.3
36FD,-36.8804016113281,174.811874389648,62502-20170928152758_v59.3
AMP        428,-36.9071502685547,174.643753051758,10234-20170928152758_v59.3
5C48,-36.8576164245605,174.758087158203,13403-20170928152758_v59.3
55F8,-36.9977684020996,174.885482788086,03301-20170928152758_v59.3
30B9,-36.7856864929199,174.75651550293,87902-20170928152758_v59.3
3A9A,-36.844482421875,174.768264770508,27402-20170928152758_v59.3
37BE,-36.8946838378906,174.774185180664,30202-20170928152758_v59.3
563B,-36.8434677124023,174.765609741211,10002-20170928152758_v59.3
56F0,-37.0368156433105,174.892929077148,36102-20170928152758_v59.3
5B52,-36.8781814575195,174.630813598633,14205-20170928152758_v59.3
560B,-37.062084197998,174.941802978516,36501-20170928152758_v59.3
36C7,-36.8543815612793,174.779800415039,72101-20170928152758_v59.3
5E45,-36.880199432373,174.897369384766,56502-20170928152758_v59.3
37E2,-36.8493499755859,174.758926391602,72101-20170928152758_v59.3
57E1,-36.786750793457,174.721633911133,91103-20170928152758_v59.3
56B9,-36.9794158935547,174.874588012695,36102-20170928152758_v59.3
621E,-36.8799476623535,174.761535644531,30002-20170928152758_v59.3
567E,-36.7585678100586,174.735305786133,10002-20170928152758_v59.3
5A4B,-36.8886985778809,174.631561279297,15406-20170928152758_v59.3
3AA5,-36.9054336547852,174.759185791016,27402-20170928152758_v59.3
5A2F,-36.9201507568359,174.813323974609,00803-20170928152758_v59.3
55F6,-37.0321960449219,174.869430541992,36202-20170928152758_v59.3
36B3,-36.8578491210938,174.759567260742,79702-20170928152758_v59.3
5FB5,-36.8604011535645,174.766906738281,50005-20170928152758_v59.3
57F7,-36.8683166503906,174.716766357422,19507-20170928152758_v59.3
5EA0,-36.8670997619629,174.775390625,50001-20170928152758_v59.3
5C44,-36.8602333068848,174.751983642578,13202-20170928152758_v59.3
67E9,-36.9254341125488,174.785766601562,31301-20170928152758_v59.3
5C52,-36.8412818908691,174.651123046875,13202-20170928152758_v59.3
2F5C,-36.8817520141602,174.633987426758,01401-20170928152758_v59.3
AMP        509,-36.9959983825684,174.872253417969,50140-20170928152758_v59.3
37BB,-36.9006996154785,174.856323242188,59502-20170928152758_v59.3
5E9D,-36.9060821533203,174.88916015625,55002-20170928152758_v59.3
666E,-36.9545822143555,174.835998535156,32501-20170928152758_v59.3
621C,-36.9929313659668,174.786346435547,30002-20170928152758_v59.3
30AF,-36.853816986084,174.761901855469,87901-20170928152758_v59.3
36C4,-36.8481254577637,174.756072998047,73102-20170928152758_v59.3
5C33,-36.8481864929199,174.761611938477,13406-20170928152758_v59.3
309A,-36.9210815429688,174.701202392578,24913-20170928152758_v59.3
2CC2,-36.8651161193848,174.760543823242,25501-20170928152758_v59.3
36E6,-36.9121513366699,174.776336669922,01102-20170928152758_v59.3
57F0,-36.7652130126953,174.718780517578,12004-20170928152758_v59.3
5C50,-36.8823509216309,174.603942871094,14302-20170928152758_v59.3
37EE,-36.848072052002,174.752731323242,85803-20170928152758_v59.3
