id,speed,xstart,xend,ystart,yend
3557,48.100603030375,174.6518222,174.669515,-36.8563527,-36.8726743
3558,34.9648407248201,174.669515,174.6822563,-36.8726743,-36.8841601
3559,5.93873197461048,174.6822563,174.6848644,-36.8841601,-36.8874171
3560,19.078263333275,174.6965503,174.6927951,-36.8945625,-36.8936389
3561,45.2154160524445,174.6927951,174.6892314,-36.8936389,-36.8920318
3562,31.8068572922853,174.6892314,174.686904,-36.8920318,-36.8899698
3563,14.4528333542914,174.686904,174.6848644,-36.8899698,-36.8874171
3564,7.82832851198654,174.6848644,174.6822563,-36.8874171,-36.8841601
3565,40.7537216395254,174.6822563,174.669515,-36.8841601,-36.8726743
3566,22.3392841509124,174.669515,174.652319,-36.8726743,-36.8586054
3567,14.1649953229477,174.6489767,174.6465816,-36.8625629,-36.8651463
3568,12.6794504312104,174.6145495,174.6125188,-36.8634235,-36.874857
3569,22.6861720172053,174.6125188,174.6146866,-36.874857,-36.882938
3570,34.0002504901194,174.6146866,174.6159404,-36.882938,-36.8897366
3571,43.4330468080653,174.6159404,174.6197446,-36.8897366,-36.8935483
3572,26.0644926875521,174.6197446,174.6154071,-36.8935483,-36.9003213
3573,26.0644926875521,174.6154071,174.6197446,-36.9003213,-36.8935483
3574,18.6144984145676,174.6197446,174.6291172,-36.8935483,-36.8812543
3575,37.1626400103457,174.6291172,174.6308602,-36.8812543,-36.878221
3576,18.5813200051729,174.6308602,174.6291172,-36.878221,-36.8812543
3577,41.8151775979418,174.6291172,174.6197446,-36.8812543,-36.8935483
3578,0,174.6197446,174.6197446,-36.8935483,-36.8935483
3579,40.7184813825612,174.6197446,174.6159404,-36.8935483,-36.8897366
3580,47.4831084430977,174.6159404,174.6146866,-36.8897366,-36.882938
3581,28.069331478915,174.6146866,174.6125188,-36.882938,-36.874857
3582,24.1217493740424,174.6125188,174.613015,-36.874857,-36.8618617
3583,NA,174.60315,174.6046285,-36.86809,-36.882921
3584,30.6180479627267,174.6046285,174.6060634,-36.882921,-36.8855044
3585,0.679973269458725,174.6060634,174.6088358,-36.8855044,-36.8871658
3586,35.1027225424339,174.6088358,174.6146866,-36.8871658,-36.882938
3587,41.6118495681246,174.6146866,174.6243667,-36.882938,-36.8734424
3588,NA,174.60315,174.6046285,-36.86809,-36.882921
3589,22.8381313908777,174.6243667,174.6146866,-36.8734424,-36.882938
3590,29.7340708594734,174.6146866,174.6088358,-36.882938,-36.8871658
3591,25.2362806596841,174.6088358,174.6060634,-36.8871658,-36.8855044
3592,20.5975959021979,174.6060634,174.6046285,-36.8855044,-36.882921
3593,NA,174.6046285,174.60315,-36.882921,-36.86809
3594,NA,174.6046285,174.60315,-36.882921,-36.86809
3595,NA,174.54432,174.6024347,-36.8492,-36.8638556
3596,41.2342091264224,174.6024347,174.6120082,-36.8638556,-36.8608411
3597,35.522605466864,174.630025,174.63663,-36.8568413,-36.8574376
3598,85.5695495080197,174.63663,174.6351343,-36.8574376,-36.8622006
3599,38.5939356736449,174.6351343,174.6389138,-36.8622006,-36.8714454
3600,NA,174.54432,174.6024347,-36.8492,-36.8638556
3601,44.2953125345242,174.6389138,174.6351343,-36.8714454,-36.8622006
3602,22.1134790863422,174.6351343,174.63663,-36.8622006,-36.8574376
3603,11.6467558907751,174.63663,174.630025,-36.8574376,-36.8568413
3604,23.5624052150985,174.6120082,174.6024347,-36.8608411,-36.8638556
3605,NA,174.6024347,174.54432,-36.8638556,-36.8492
3606,NA,174.6024347,174.54432,-36.8638556,-36.8492
3607,NA,174.57609,174.6024347,-36.86594,-36.8638556
3608,NA,174.57609,174.6024347,-36.86594,-36.8638556
3609,NA,174.6024347,174.57609,-36.8638556,-36.86594
3610,NA,174.6024347,174.57609,-36.8638556,-36.86594
3611,NA,174.62879,174.6612177,-36.90816,-36.9218734
3612,21.9920807735704,174.6753571,174.6815161,-36.9119149,-36.9136263
3613,56.3645156286581,174.6815161,174.6831625,-36.9136263,-36.9094697
3614,34.5703642579412,174.6831625,174.6846576,-36.9094697,-36.9096412
3615,75.3107243592625,174.688024,174.6879459,-36.9101542,-36.907524
3616,51.781920741274,174.7051252,174.7016511,-36.8726001,-36.8720027
3617,NA,174.62879,174.6612177,-36.90816,-36.9218734
3618,19.5146697906551,174.7237366,174.7043794,-36.8689118,-36.8752999
3619,26.8815382228985,174.6831625,174.6815161,-36.9094697,-36.9136263
3620,29.017328798461,174.6815161,174.6753571,-36.9136263,-36.9119149
3621,NA,174.6612177,174.63052,-36.9218734,-36.90859
3622,NA,174.6612177,174.63052,-36.9218734,-36.90859
3623,NA,174.63132,174.6312467,-36.88148,-36.88184
3624,13.4855684500793,174.6375637,174.6354602,-36.888583,-36.8957925
3625,23.8902505372812,174.6354602,174.6323451,-36.8957925,-36.8981034
3626,26.651068960065,174.6323451,174.6280256,-36.8981034,-36.9080973
3627,NA,174.63132,174.6312467,-36.88148,-36.88184
3628,21.1875998232517,174.6280256,174.6323451,-36.9080973,-36.8981034
3629,24.3168621540184,174.6323451,174.6354602,-36.8981034,-36.8957925
3630,7.78694241211928,174.6354602,174.6375637,-36.8957925,-36.888583
3631,29.5454342454298,174.6315839,174.6263987,-36.8855941,-36.9052893
3632,29.4376041934391,174.6263987,174.6315839,-36.9052893,-36.8855941
3633,NA,174.66651,174.6663651,-36.89417,-36.9006695
3634,15.8954424220126,174.6663651,174.6773858,-36.9006695,-36.9089575
3635,NA,174.66651,174.6663651,-36.89417,-36.9006695
3636,NA,174.68334,174.6809976,-36.90944,-36.9100941
3637,15.8434965317446,174.6773858,174.6663651,-36.9089575,-36.9006695
3638,NA,174.6663651,174.66651,-36.9006695,-36.89417
3639,NA,174.68334,174.6809976,-36.90944,-36.9100941
3640,NA,174.6663651,174.66651,-36.9006695,-36.89417
3641,NA,174.63135,174.6312467,-36.88022,-36.88184
3642,36.7820855131361,174.6663651,174.662999,-36.9006695,-36.9073033
3643,NA,174.63135,174.6312467,-36.88022,-36.88184
3644,31.877807444718,174.662999,174.6663651,-36.9073033,-36.9006695
3645,13.0890594866795,174.6663651,174.6444853,-36.9006695,-36.8860566
